the_geom,cartodb_id,has_toilets,_unique,access_direction,category,distance_from,has_bbq,has_caravan_disposal,has_emergency_phones,has_lighting,has_litter_bins,has_picnic_table,has_playground,has_power_outlets,has_shelter,is_accessible,latitude,longitude,responsible_authority,rest_area_name,rest_area_number,road_name,road_number,side,type,last_updated
0101000020E6100000D2E3F736FD1B62402EAD86C43D963FC0,49116,TRUE,"0000008,0130,A2",Eastbound,RA,5916m from HW8 segment 446.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-31.58688,144.87466,Roads and Maritime Services,Lilyvale Heavy Vehicle Rest Area (West Bound Lane),1431,BARRIER HIGHWAY,8,L,B,20200601
0101000020E610000074D2FBC6D73163403C6BB75D683E3CC0,49117,TRUE,"0000010,3381,C3",Both Directions,SCT,80km north of Ballina,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-28.24378,153.55759,Other,Chinderah Southbound Service Centre,4007,PACIFIC HIGHWAY,10,R,B,20200601
0101000020E61000006649809A5AF162400EBE30992A6C40C0,49118,TRUE,"0006011,0060,B1",Eastbound,RA,7.6 km from Kurri Kurri,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,-32.84505,151.54231,Roads and Maritime Services,Wattaka Rest Areas,3310,HUNTER EXPRESSWAY,6011,L,B,20200601
0101000020E61000002783A3E4D5EA6240ABCFD556EC5340C0,49119,TRUE,"0006011,0240,C1",Westbound,RA,1.2 km from Branxton,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-32.65565,151.33861,Roads and Maritime Services,Branxton Truck Rest Area,3312,HUNTER EXPRESSWAY,6011,R,H,20200601
0101000020E6100000B537F8C264F162400EA14ACD1E6C40C0,49120,TRUE,"0006011,0060,C1",Westbound,RA,7.6 Km Kurri Kurri,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,-32.84469,151.54355,Roads and Maritime Services,Wattaka Rest Areas,3311,HUNTER EXPRESSWAY,6011,R,B,20200601
0101000020E6100000A4AA09A2EE1863404C89247A196D3EC0,49121,TRUE,"0000076,0060,A1",Both,RA,14.2km West of Bellingen,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-30.42617,152.77913,Council,ROSES PARK,4002,WATERFALL WAY,76,R,L,20200601
0101000020E61000005FD218ADA3E06240D61C2098A3D340C0,49122,TRUE,"0000503,1190,A2",Both,RA,0.137km from Bulga,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,-33.65343,151.01998,Council,Bulga War Memorial & Garden,3397,THE PUTTY RD,503,L,L,20200601
0101000020E6100000FA27B858511A63408F705AF0A23F3FC0,49123,TRUE,"0000010,2245,C1",Southbound,RA,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,-31.24858,152.82243,Roads and Maritime Services,Barry's Creek Southbound,4126,PACIFIC HIGHWAY,10,R,B,20200601
0101000020E610000087A757CA32CB6240AF997CB3CD1140C0,49124,TRUE,"0000027,0240,A2",Both,RA,0.05km from Merriwa,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-32.13909,150.34995,Council,Merriwa Rest Area,1710,GOLDEN HIGHWAY (TELFER AVE),27,R,B,20200601
0101000020E610000020D26F5F07CF6240A245B6F3FD1C40C0,49125,FALSE,"0000027,0200,A1",Southbound,PA,17.0km from Merriwa,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-32.2265,150.46965,Roads and Maritime Services,HV Parking Area Westwood,1709,GOLDEN HIGHWAY,27,R,H,20200601
0101000020E6100000033E3F8C10D0624082AD122C0E2340C0,49126,TRUE,"0000027,0200,A1",Both,RA,27.0km from Denman,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-32.27387,150.50202,Roads and Maritime Services,Gungal Rest Area,1708,GOLDEN HIGHWAY,27,R,L,20200601
0101000020E6100000533F6F2A52DE624048E17A14AE5B40C0,49127,FALSE,"0000503,1180,A3",Both,PA,139.68km from Windsor,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,-32.71625,150.94753,Roads and Maritime Services,Fire Place,1654,THE PUTTY RD,503,R,L,20200601
0101000020E610000046CEC29E76D66240CDE49B6D6E7840C0,49128,FALSE,"0000503,1140,A3",Northbound,RA,96.6km from Windsor,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-32.94087,150.70198,Roads and Maritime Services,Swamp Creek Rest Area,1646,THE PUTTY RD,503,L,L,20200601
0101000020E61000006ABC749318DB6240BD1DE1B4E0ED3EC0,49129,TRUE,"0000063,0060,A2",Southbound,RA,21.5km North of Tamworth,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-30.92921,150.84675,Council,Attunga,1817,TAMWORTH-YETMAN RD,63,R,B,20200601
0101000020E6100000AB09A2EE030C6340BDFBE3BD6AED3CC0,49130,TRUE,"0000016,0410,A1",Both,RA,77km West of Casino,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,-28.92741,152.37548,Council,Drake - Underwood Park,1798,FAIRFIELD STREET,16,L,L,20200601
0101000020E6100000CB4A9352D0306340EEB1F4A10B6A3CC0,49131,TRUE,"0000010,3305,C1",Southbound,RA,59.3km North of Ballina,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,-28.41424,153.52543,Roads and Maritime Services,Sleepy Hollow Southbound,555,PACIFIC HIGHWAY,10,R,B,20200601
0101000020E61000001361C3D32B0863401EFE9AAC51673FC0,49132,FALSE,"0000011,0350,A1",Northbound,RA,58.4km West of Wauchope,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-31.40359,152.25535,Roads and Maritime Services,Mount Seaview,631,OXLEY HIGHWAY,11,R,L,20200601
0101000020E61000009981CAF8F70363402CB7B41A12673FC0,49133,TRUE,"0000011,0360,A1",Eastbound,RA,80.4km West of Wauchope,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-31.40262,152.12402,Roads and Maritime Services,Stockyard Creek,636,OXLEY HIGHWAY,11,L,L,20200601
0101000020E6100000EC34D2527903634011DF89592F663FC0,49134,FALSE,"0000011,0360,A1",Northbound,RA,82.4km West of Wauchope,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-31.39916,152.10856,Roads and Maritime Services,Gingers Creek,637,OXLEY HIGHWAY,11,R,B,20200601
0101000020E6100000990D32C9C81E6340A54E401361833CC0,49135,TRUE,"0000083,0410,A6",Both,RA,13.2km North of Kyogle,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-28.5132,152.96201,Council,Wiangaree Pond,1793,SUMMERLAND WAY,83,R,L,20200601
0101000020E61000008DEE2076A63063404D10751F806C3CC0,49136,TRUE,"0000010,3305,B1",Northbound,RA,58.2km North of Ballina,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,-28.42383,153.52032,Roads and Maritime Services,Sleepy Hollow Northbound,554,PACIFIC HIGHWAY,10,L,B,20200601
0101000020E6100000166A4DF38E2963401E1B81785D273DC0,49137,TRUE,"0000010,2950,A1",Both Directions,RA,82km North of Grafton,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-29.15377,153.2987,Other,New Italy,546,PACIFIC HIGHWAY,10,L,L,20200601
0101000020E61000003A1E3350192F63409D8026C286EF3CC0,49138,TRUE,"0000010,3090,A2",Southbound,RA,115.1km North of Grafton,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-28.93565,153.47184,Roads and Maritime Services,Wardell Southbound,529,PACIFIC HIGHWAY,10,R,B,20200601
0101000020E6100000C251F2EA1C2F6340739D465A2AEF3CC0,49139,TRUE,"0000010,3090,A2",Northbound,RA,115.3km North of Grafton,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-28.93424,153.47228,Roads and Maritime Services,Wardell Northbound,530,PACIFIC HIGHWAY,10,L,B,20200601
0101000020E6100000BC79AA436E3163409B3DD00A0C993CC0,49140,TRUE,"0000010,3231,B4",Northbound,RA,36.2km North of Ballina,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,-28.59784,153.54471,Roads and Maritime Services,Tyagarah,552,PACIFIC HIGHWAY - TYAGARAH,10,L,B,20200601
0101000020E61000005D16139B8F26634070EB6E9EEA783DC0,49141,TRUE,"0000010,2835,A1",Both,RA,41.3km North of Grafton,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-29.47233,153.20503,Other,Ferry Park - Maclean,1791,PACIFIC HIGHWAY,10,L,L,20200601
0101000020E6100000DB166536C8C86240118DEE2076063FC0,49142,FALSE,"0000029,0145,A1",Both,RA,74.3km North of Quirindi,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-31.02524,150.27444,Roads and Maritime Services,Soil Conservation,1788,KAMILAROI HIGHWAY,29,R,L,20200601
0101000020E610000023DBF97E6AC662408FC2F5285CEF3EC0,49143,FALSE,"0000029,0201,A1",Both,PA,30.8km South of Boggabri,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-30.935,150.2005,Roads and Maritime Services,Blue Vale Road,658,KAMILAROI HIGHWAY,29,R,H,20200601
0101000020E6100000309E4143FFC5624007F0164850EC3EC0,49144,FALSE,"0000029,0201,A1",Both,PA,9.2km North of Gunnedah,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-30.9231,150.18741,Roads and Maritime Services,Greenwood Grange,1789,KAMILAROI HIGHWAY,29,L,B,20200601
0101000020E610000040C1C58A1AD8624076711B0DE0CD3EC0,49145,TRUE,"0000063,0060,A2",Both,RA,38.3km North of Tamworth,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-30.8042,150.75324,Council,Lions Park,667,TAMWORTH-YETMAN RD,63,L,L,20200601
0101000020E6100000CB10C7BAB8D3624088855AD3BC6B3EC0,49146,TRUE,"0000063,0160,A3",Both,RA,40.3km North of Tamworth (3.2km South of Barraba),FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,-30.42085,150.6163,Council,Lions Park - Barraba,669,TAMWORTH-YETMAN RD,63,R,B,20200601
0101000020E6100000BADA8AFD65D16240A29C6857219D3DC0,49147,FALSE,"0000063,0340,A1",Eastbound,RA,30.6km North of Bingara,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-29.61379,150.5437,Roads and Maritime Services,Ti Tree Creek,676,TAMWORTH-YETMAN RD,63,L,L,20200601
0101000020E61000005DA79196CA296340446E861BF0C93CC0,49148,FALSE,"0000065,0045,A1",Westbound,RA,4.2km North of Lismore,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-28.78882,153.30598,Roads and Maritime Services,Lions Park,1790,Lismore-Bangalow Road,65,L,B,20200601
0101000020E6100000C72E51BD35176340726DA818E75F3EC0,49149,TRUE,"0000076,0060,A1",Both,RA,24.7km west of Bellingen,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-30.37462,152.72531,Roads and Maritime Services,Dorrigo Mountain Top,572,WATERFALL WAY,76,R,B,20200601
0101000020E610000024D6E253000A63405A8121AB5BED3CC0,49150,TRUE,"0000016,0420,A2",Eastbound,RA,85km West of Casino,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,-28.92718,152.31254,State Forests,Crooked Creek,619,BRUXNER HIGHWAY,16,L,L,20200601
0101000020E6100000A5315A4755D662407FA4880CAB903FC0,49151,FALSE,"0000029,0020,A1",Eastbound,RA,8.4km North of HW9,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-31.56511,150.69791,Roads and Maritime Services,Braefield,1786,KAMILAROI HIGHWAY,29,R,L,20200601
0101000020E61000005F46B1DCD2CF62403FE3C281904C3FC0,49152,FALSE,"0000029,0110,A1",Both,PA,32.5km North of Quirindi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-31.29908,150.49449,Roads and Maritime Services,Square Bush,1787,KAMILAROI HIGHWAY,29,R,H,20200601
0101000020E6100000E3C281902CF36240603C8386FEB93DC0,49153,TRUE,"0000012,0330,A1",Both,RA,14.9km West of Glen Innes,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-29.72654,151.59919,Roads and Maritime Services,Sinclair Lookout,713,GWYDIR HIGHWAY,12,L,L,20200601
0101000020E61000008E01D9EBDDE96240A72215C616CA3DC0,49154,FALSE,"0000012,0350,A1",Both,RA,46.49km West of Glenn Innes,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-29.78941,151.30834,Roads and Maritime Services,Schumachers westbound,715,GWYDIR HIGHWAY,12,R,B,20200601
0101000020E6100000AF7C96E7C1E9624009F9A067B3CA3DC0,49155,FALSE,"0000012,0350,A1",Eastbound,RA,46.9km West of Glenn Innes,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-29.7918,151.30492,Roads and Maritime Services,Schumachers eastbound,716,GWYDIR HIGHWAY,12,L,B,20200601
0101000020E61000001973D712F2ED62402FFA0AD28CC53DC0,49156,TRUE,"0000012,0350,A1",Westbound,RA,33.7km West of Glen Innes,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-29.77168,151.4358,Roads and Maritime Services,Swan Brook,714,GWYDIR HIGHWAY,12,L,L,20200601
0101000020E6100000029F1F4608E66240BC74931804C63DC0,49157,FALSE,"0000012,0370,A1",Both,RA,59.1km West of Glenn Innes,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-29.7735,151.18851,Roads and Maritime Services,Lauriston,717,GWYDIR HIGHWAY,12,R,L,20200601
0101000020E6100000C286A757CADE62404DD6A88768BC3DC0,49158,FALSE,"0000012,0450,A1",Both,RA,15.9km West of Inverell,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-29.73597,150.9622,Roads and Maritime Services,East of Little Plain,1144,GWYDIR HIGHWAY,12,L,B,20200601
0101000020E61000009F02603C83D9624087A2409FC8A33DC0,49159,FALSE,"0000012,0495,A1",Eastbound,RA,36.1km West of Inverell,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-29.63978,150.79727,Roads and Maritime Services,Dumboy Creek,1145,INVERELL STREET,12,L,B,20200601
0101000020E6100000A4703D0AD7D362406F2F698CD6913DC0,49160,FALSE,"0000012,0510,A1",Both,RA,55.6km West of Inverell,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-29.56968,150.62,Roads and Maritime Services,Tigers Gap westbound,1147,GWYDIR HIGHWAY,12,L,B,20200601
0101000020E61000006475ABE7A4CF624005FA449E24953DC0,49161,FALSE,"0000012,0560,A1",Southbound,RA,10.1km West of Warialda,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-29.58259,150.48888,Roads and Maritime Services,Nancy Coulton Lookout,1148,GWYDIR HIGHWAY,12,L,B,20200601
0101000020E610000099F04BFDBCDA62406002B7EEE65941C0,49162,FALSE,"0000001,1448,C4",Northbound,RA,4km South of Kiama,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-34.70236,150.83557,Roads and Maritime Services,Kiama Bends Information Bay N/B,341,PRINCES HIGHWAY,1,L,B,20200601
0101000020E6100000FE43FAEDEBDA6240EC4CA1F31A5B41C0,49163,FALSE,"0000001,1448,B4",Southbound,RA,5.5km South of Kiama,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-34.71176,150.8413,Council,Mt Pleasant Water Tower Lookout S/B,343,PRINCES HIGHWAY,1,L,L,20200601
0101000020E61000000AF4893C49D362401CCEFC6A0E7441C0,49164,TRUE,"0000001,1621,C1",Both,RA,3.5km South of Nowra,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,-34.90669,150.60269,Council,Flinders St  Rest Area Sth Nowra N/B,346,Princes Highway,1,R,L,20200601
0101000020E6100000DEE522BE13D16240897B2C7DE88A41C0,49165,TRUE,"0000001,1660,A2",Both,RA,26km South of Nowra,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-35.08522,150.53366,Roads and Maritime Services,Bewong Rest Area N/B,348,PRINCES HIGHWAY,1,R,B,20200601
0101000020E6100000A9D903ADC0CE62403B191C25AF9241C0,49166,FALSE,"0000001,1670,A2",Both,RA,37km South of Nowra,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,-35.14597,150.46102,Roads and Maritime Services,Table and Chairs N/B,349,PRINCES HIGHWAY,1,R,L,20200601
0101000020E6100000202922C32AC8624077F35487DCCC41C0,49167,FALSE,"0000001,1870,A1",Both,RA,37km South of Nowra,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,-35.60048,150.25522,State Forests,Kioala Rest Area S/B,351,PRINCES HIGHWAY,1,L,L,20200601
0101000020E6100000E7FBA9F1D2C3624002D4D4B2B5EE41C0,49168,TRUE,"0000001,2011,A2",Both,RA,20km South of Batemans Bay,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-35.86492,150.1195,Roads and Maritime Services,Waldron Swamp Rest Area S/B,353,PRINCES HIGHWAY,1,L,L,20200601
0101000020E6100000A301BC0512C362402C4833164D1342C0,49169,FALSE,"0000001,2110,A2",Both,RA,11km North of Narooma,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-36.15079,150.09595,State Forests,Bodalla Park Rest Area,355,PRINCES HIGHWAY,1,L,L,20200601
0101000020E6100000D5CA845FEA1463409F5912A0A6E63CC0,49170,FALSE,"0000016,0340,A1",Northbound,PA,45km West of Casino,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-28.90098,152.65361,Roads and Maritime Services,Bonalbo Road Westbound,614,BRUXNER HIGHWAY,16,L,H,20200601
0101000020E6100000B515FBCBEE14634091F2936A9FE63CC0,49171,TRUE,"0000016,0340,A1",Both,RA,45.9km North of Casino,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-28.90087,152.65415,Roads and Maritime Services,Sandilands,613,BRUXNER HIGHWAY,16,R,L,20200601
0101000020E6100000A089B0E1E914634011E4A08499E63CC0,49172,FALSE,"0000016,0350,A2",Westbound,PA,45km West of Casino,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-28.90078,152.65355,Roads and Maritime Services,Bonalbo Road Eastbound,615,BRUXNER HIGHWAY,16,R,H,20200601
0101000020E61000004B598638D611634024624A24D1933DC0,49173,TRUE,"0000012,0170,A1",Both,RA,42.3km West of Grafton,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-29.57741,152.5574,Roads and Maritime Services,Lollback,694,GWYDIR HIGHWAY,12,L,L,20200601
0101000020E610000082FFAD64C70B63402506819543733DC0,49174,TRUE,"0000012,0210,A1",Both,RA,79.4km North of Grafton,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,-29.45025,152.36809,Roads and Maritime Services,Heffrons Lookout,593,GWYDIR HIGHWAY,12,L,L,20200601
0101000020E61000005743E21E4BC26240DA5548F9492942C0,49175,FALSE,"0000001,2216,A1",Both,RA,16km South of Narooma,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-36.32257,150.07167,Roads and Maritime Services,Bobundara Rest Area Tilba N/B,356,PRINCES HIGHWAY,1,R,B,20200601
0101000020E6100000DD7BB8E4B8BB62400708E6E8F13B42C0,49176,TRUE,"0000001,2265,A1",Both,RA,12km South of Cobargo,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-36.46832,149.86632,Roads and Maritime Services,Dry Creek Quaama S/B,358,PRINCES HIGHWAY,1,L,L,20200601
0101000020E6100000016A6AD95ABA6240D13FC1C58A5242C0,49177,FALSE,"0000001,2290,A2",Both,PA,5km North of Bega,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-36.64486,149.82359,Council,Bega Lookout S/B,359,PRINCES HWY,1,L,L,20200601
0101000020E610000082902C6002BA624014D044D8F06C42C0,49178,TRUE,"0000001,2383,A2",Both,RA,22km South of Bega,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-36.8511,149.81279,State Forests,Yellow Pinch Dam Rest Area N/B,360,PRINCES HIGHWAY,1,R,L,20200601
0101000020E6100000448655BC91BA62401CD31396789C42C0,49179,TRUE,"0000001,2570,A1",Both,RA,22km South of Eden,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,-37.22243,149.83029,State Forests,Scubby Creek Rest Area N/B,361,PRINCES HIGHWAY,1,R,L,20200601
0101000020E6100000ABB2EF8AE0B662401EE1B4E045AF42C0,49180,TRUE,"0000001,2600,A2",Both,RA,43km South of Eden,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-37.36932,149.71491,Roads and Maritime Services,Wallagaraugh Rest Area N/B,362,PRINCES HIGHWAY,1,R,L,20200601
0101000020E6100000713D0AD7A3D76240F2EF332E1C1441C0,49181,TRUE,"0000002,0751,B1",Southbound,RA,23km South of Campbelltown,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,-34.15711,150.73875,Roads and Maritime Services,Partridge VC Rest Area S/B,80,HUME HIGHWAY,2,L,B,20200601
0101000020E61000009BFEEC478AD462402384471B472441C0,49182,FALSE,"0000002,0836,B3",Northbound,RA,30km South of Campbelltown,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,-34.28342,150.64188,Other,Pheasants Nest Mobil Service Centre S/B,82,HUME HIGHWAY,2,L,B,20200601
0101000020E6100000C16ED8B628D2624075C8CD70032A41C0,49183,FALSE,"0000002,0897,B1",Westbound,PA,38km South of Campbelltown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,-34.32823,150.56747,Roads and Maritime Services,Parking Area Sth of Bargo On Ramp S/B,83,HUME HIGHWAY,2,L,B,20200601
